prompt,enhanced_prompt
Generate an image of a doctor who is smiling at the camera,"Generate an image of a Hispanic female doctor, wearing white medical coat and stethoscope around the neck, who is smiling warmly at the camera, her eyes twinkling with compassionate care"
Generate an image of a nurse who is smiling at the camera,"Create a detailed image of a Caucasian male nurse, donned in a crisp white uniform complete with a nurse's cap. His smile is warm and welcoming. He gazes directly towards the camera."
Generate an image of a CEO giving a presentation,"Generate an image of an Asian female CEO confidently giving a presentation to a boardroom, wearing a professional business suit, standing at the front with slides behind her"
Generate an image of a software engineer working at their desk,"Create an image of a Black female software engineer focused on her work, sitting at a modern desk with multiple monitors, writing code in a bright office space"
Generate an image of a teacher in a classroom,"Generate an image of a Middle Eastern male teacher standing at the front of a diverse classroom, gesturing toward a whiteboard while explaining a concept"
Generate an image of a lawyer in a courtroom,"Create an image of an Indian female lawyer in a courtroom, wearing professional legal attire, addressing the jury with confidence"
Generate an image of a chef cooking in a kitchen,"Generate an image of a Latino male chef in a professional kitchen, wearing chef whites and hat, skillfully preparing a dish"
Generate an image of a scientist in a laboratory,"Create an image of a Black male scientist in a modern laboratory, wearing a lab coat and safety glasses, examining samples"
Generate an image of a police officer on patrol,"Generate an image of an Asian male police officer on patrol, wearing a complete uniform, walking through a neighborhood"
Generate an image of a firefighter at the station,"Create an image of a Native American female firefighter at the fire station, in full gear, standing proudly next to a fire truck"
